Game_Date,Game_Date_ISO,Team,Is_Home_Team,Opponent,Team_Score,Opponent_Score,Pace,eFG_PCT,TOV_PCT,ORB_PCT,FT_Rate,ORtg,Won,Home_Won,Opponent_eFG_PCT,Opponent_TOV_PCT,Opponent_ORB_PCT,Opponent_FT_Rate,Opponent_ORtg,Box_Score_URL
2025-03-20,2025-03-20,New York Knicks,False,Charlotte Hornets,98,115,94.1,0.456,6.6,18.0,0.178,104.2,0,0,0.574,11.2,27.5,0.159,122.2,https://www.basketball-reference.com/boxscores/202503200CHO.html
2025-03-20,2025-03-20,Charlotte Hornets,True,New York Knicks,115,98,94.1,0.574,11.2,27.5,0.159,122.2,1,1,0.456,6.6,18.0,0.178,104.2,https://www.basketball-reference.com/boxscores/202503200CHO.html
2025-03-20,2025-03-20,Brooklyn Nets,False,Indiana Pacers,99,105,97.4,.426,12.8,23.0,.129,92.0,0,0,.481,20.9,23.3,.333,97.6,https://www.basketball-reference.com/boxscores/202503200IND.html
2025-03-20,2025-03-20,Indiana Pacers,True,Brooklyn Nets,105,99,97.4,.481,20.9,23.3,.333,97.6,1,1,.426,12.8,23.0,.129,92.0,https://www.basketball-reference.com/boxscores/202503200IND.html
2025-03-20,2025-03-20,Toronto Raptors,False,Golden State Warriors,114,117,102.3,.635,21.0,20.6,.192,111.5,0,0,.528,12.8,22.9,.244,114.4,https://www.basketball-reference.com/boxscores/202503200GSW.html
2025-03-20,2025-03-20,Golden State Warriors,True,Toronto Raptors,117,114,102.3,.528,12.8,22.9,.244,114.4,1,1,.635,21.0,20.6,.192,111.5,https://www.basketball-reference.com/boxscores/202503200GSW.html
2025-03-20,2025-03-20,Chicago Bulls,False,Sacramento Kings,128,116,96.2,.610,12.6,30.8,.267,133.1,1,0,.564,11.1,24.3,.221,120.6,https://www.basketball-reference.com/boxscores/202503200SAC.html
2025-03-20,2025-03-20,Sacramento Kings,True,Chicago Bulls,116,128,96.2,.564,11.1,24.3,.221,120.6,0,1,.610,12.6,30.8,.267,133.1,https://www.basketball-reference.com/boxscores/202503200SAC.html
2025-03-20,2025-03-20,Milwaukee Bucks,False,Los Angeles Lakers,118,89,95.4,.542,8.3,21.7,.321,123.7,1,0,.482,19.8,31.1,.122,93.3,https://www.basketball-reference.com/boxscores/202503200LAL.html
2025-03-20,2025-03-20,Los Angeles Lakers,True,Milwaukee Bucks,89,118,95.4,.482,19.8,31.1,.122,93.3,0,1,.542,8.3,21.7,.321,123.7,https://www.basketball-reference.com/boxscores/202503200LAL.html
2025-03-21,2025-03-21,Orlando Magic,False,Washington Wizards,120,105,100.1,.568,11.3,28.3,.115,119.9,1,0,.523,13.6,16.0,.161,104.9,https://www.basketball-reference.com/boxscores/202503210WAS.html
2025-03-21,2025-03-21,Washington Wizards,True,Orlando Magic,105,120,100.1,.523,13.6,16.0,.161,104.9,0,1,.568,11.3,28.3,.115,119.9,https://www.basketball-reference.com/boxscores/202503210WAS.html
2025-03-21,2025-03-21,Houston Rockets,False,Miami Heat,102,98,93.7,.548,15.4,34.1,.119,108.9,1,0,.589,21.0,13.9,.164,104.6,https://www.basketball-reference.com/boxscores/202503210MIA.html
2025-03-21,2025-03-21,Miami Heat,True,Houston Rockets,98,102,93.7,.589,21.0,13.9,.164,104.6,0,1,.548,15.4,34.1,.119,108.9,https://www.basketball-reference.com/boxscores/202503210MIA.html
2025-03-21,2025-03-21,New Orleans Pelicans,False,Minnesota Timberwolves,93,134,96.9,.581,25.1,21.2,.206,95.9,0,0,.646,12.5,27.8,.213,138.2,https://www.basketball-reference.com/boxscores/202503210MIN.html
2025-03-21,2025-03-21,Minnesota Timberwolves,True,New Orleans Pelicans,134,93,96.9,.646,12.5,27.8,.213,138.2,1,1,.581,25.1,21.2,.206,95.9,https://www.basketball-reference.com/boxscores/202503210MIN.html
2025-03-21,2025-03-21,Charlotte Hornets,False,Oklahoma City Thunder,106,141,95.5,.581,15.7,15.4,.163,111.0,0,0,.686,8.1,30.3,.128,147.7,https://www.basketball-reference.com/boxscores/202503210OKC.html
2025-03-21,2025-03-21,Oklahoma City Thunder,True,Charlotte Hornets,141,106,95.5,.686,8.1,30.3,.128,147.7,1,1,.581,15.7,15.4,.163,111.0,https://www.basketball-reference.com/boxscores/202503210OKC.html
2025-03-21,2025-03-21,Philadelphia 76ers,False,San Antonio Spurs,120,128,101.4,.654,18.2,16.7,.173,118.4,0,0,.635,13.4,25.0,.169,126.3,https://www.basketball-reference.com/boxscores/202503210SAS.html
2025-03-21,2025-03-21,San Antonio Spurs,True,Philadelphia 76ers,128,120,101.4,.635,13.4,25.0,.169,126.3,1,1,.654,18.2,16.7,.173,118.4,https://www.basketball-reference.com/boxscores/202503210SAS.html
2025-03-21,2025-03-21,Detroit Pistons,False,Dallas Mavericks,117,123,102.8,.526,11.6,30.6,.143,113.8,0,0,.600,17.3,27.8,.338,119.6,https://www.basketball-reference.com/boxscores/202503210DAL.html
2025-03-21,2025-03-21,Dallas Mavericks,True,Detroit Pistons,123,117,102.8,.600,17.3,27.8,.338,119.6,1,1,.526,11.6,30.6,.143,113.8,https://www.basketball-reference.com/boxscores/202503210DAL.html
