date,visitor_team,visitor_score,home_team,home_score,visitor_pace,home_pace,visitor_efg,visitor_tov_pct,visitor_orb_pct,visitor_ft_rate,visitor_ortg,home_efg,home_tov_pct,home_orb_pct,home_ft_rate,home_ortg,home_win
2025-03-01,GSW,119,PHI,126,100.3,100.3,0.52,12.2,37.5,0.15,118.6,0.641,12.6,24.4,0.2,125.6,1
2025-03-02,DEN,103,BOS,110,93.0,93.0,0.547,11.6,18.6,0.105,110.7,0.564,13.5,25.0,0.282,118.2,1
2025-03-02,NYK,116,MIA,112,90.7,90.7,0.558,11.3,26.2,0.105,115.8,0.601,12.5,7.9,0.131,111.8,0
2025-03-02,TOR,104,ORL,102,91.5,91.5,0.506,13.9,30.0,0.288,113.6,0.5,14.1,20.0,0.522,111.4,0
2025-03-02,OKC,146,SAS,132,102.7,102.7,0.639,6.0,29.3,0.168,142.2,0.659,11.7,15.4,0.132,128.5,0
2025-03-02,NOP,128,UTA,121,104.0,104.0,0.593,9.3,28.9,0.069,123.1,0.563,11.2,20.5,0.135,116.4,0
2025-03-02,LAC,102,LAL,108,92.1,92.1,0.5,11.2,25.0,0.159,110.7,0.61,16.5,26.8,0.182,117.2,1
2025-03-02,CHI,112,IND,127,98.1,98.1,0.557,12.7,27.9,0.159,114.1,0.661,11.2,14.3,0.138,129.4,1
2025-03-02,MIN,116,PHX,98,100.3,100.3,0.538,7.3,9.6,0.185,115.7,0.519,19.9,25.0,0.188,97.8,0
2025-03-02,POR,129,CLE,133,101.2,101.2,0.51,15.2,27.7,0.323,115.5,0.531,11.8,28.3,0.309,119.1,1
2025-03-03,WAS,90,MIA,106,96.7,96.7,0.429,12.2,14.0,0.214,93.0,0.555,11.8,12.2,0.183,109.6,1
2025-03-03,ATL,132,MEM,130,99.3,99.3,0.641,10.4,35.0,0.094,133.0,0.575,16.1,48.6,0.247,131.0,0
2025-03-03,HOU,128,OKC,137,106.3,106.3,0.564,12.9,30.0,0.139,120.4,0.582,10.7,29.2,0.247,128.9,1
2025-03-03,SAC,122,DAL,98,91.4,91.4,0.611,6.8,23.1,0.133,133.5,0.5,13.8,20.0,0.273,107.2,0
2025-03-03,GSW,119,CHO,101,103.5,103.5,0.516,7.9,23.5,0.221,114.9,0.459,14.5,16.0,0.256,97.6,0
2025-03-03,DET,134,UTA,106,109.5,109.5,0.614,11.1,20.0,0.228,122.4,0.488,22.6,22.5,0.317,96.8,0
2025-03-03,POR,119,PHI,102,93.5,93.5,0.54,9.3,43.1,0.121,127.3,0.489,7.4,26.4,0.095,109.1,0
2025-03-04,LAC,117,PHX,119,93.3,93.3,0.566,6.9,18.9,0.277,125.4,0.6,10.7,18.9,0.288,127.5,1
