Date,Game_Date_ISO,Time,Arena,Attendance,Game_Duration,Overtime,Away_Team_Name,Away_Score,Away_Team_Won,Away_Won_Binary,Away_eFG_PCT,Away_TOV_PCT,Away_ORB_PCT,Away_FT_Rate,Away_ORtg,Away_Opp_eFG_PCT,Away_Opp_TOV_PCT,Away_Opp_ORB_PCT,Away_Opp_FT_Rate,Away_Opp_ORtg,Home_Team_Name,Home_Score,Home_Team_Won,Home_Won_Binary,Home_eFG_PCT,Home_TOV_PCT,Home_ORB_PCT,Home_FT_Rate,Home_ORtg,Home_Opp_eFG_PCT,Home_Opp_TOV_PCT,Home_Opp_ORB_PCT,Home_Opp_FT_Rate,Home_Opp_ORtg,Game_Pace,Home_Point_Diff,eFG_PCT_Diff,TOV_PCT_Diff,ORB_PCT_Diff,FT_Rate_Diff,Box_Score_URL,Notes,Game_Date
2025-03-25,2025-03-25,8:00p,Toyota Center,"16,817",2:21,,Atlanta Hawks,114,0,0,0.49,11.3,32.7,0.126,112.6,0.511,13.1,36.8,0.28,119.5,Houston Rockets,121,1,1,0.511,13.1,36.8,0.28,119.5,0.49,11.3,32.7,0.126,112.6,101.2,7,0.02100000000000002,-1.799999999999999,4.099999999999994,0.15400000000000003,https://www.basketball-reference.com/boxscores/202503250HOU.html,,2025-03-25
2025-03-21,2025-03-21,8:00p,Kaseya Center,"19,700",2:11,,Houston Rockets,102,1,1,0.548,15.4,34.1,0.119,108.9,0.589,21.0,13.9,0.164,104.6,Miami Heat,98,0,0,0.589,21.0,13.9,0.164,104.6,0.548,15.4,34.1,0.119,108.9,93.7,-4,0.040999999999999925,-5.6,-20.200000000000003,0.04500000000000001,https://www.basketball-reference.com/boxscores/202503210MIA.html,,2025-03-21
2025-03-25,2025-03-25,7:30p,Madison Square Garden (IV),"19,812",2:05,,Dallas Mavericks,113,0,0,0.575,15.0,13.9,0.263,109.8,0.652,13.4,15.2,0.135,124.4,New York Knicks,128,1,1,0.652,13.4,15.2,0.135,124.4,0.575,15.0,13.9,0.263,109.8,102.9,15,0.07700000000000007,1.5999999999999996,1.299999999999999,-0.128,https://www.basketball-reference.com/boxscores/202503250NYK.html,,2025-03-25
2025-03-20,2025-03-20,7:00p,Spectrum Center,"18,557",2:04,,New York Knicks,98,0,0,0.456,6.6,18.0,0.178,104.2,0.574,11.2,27.5,0.159,122.2,Charlotte Hornets,115,1,1,0.574,11.2,27.5,0.159,122.2,0.456,6.6,18.0,0.178,104.2,94.1,17,0.11799999999999994,-4.6,9.5,-0.01899999999999999,https://www.basketball-reference.com/boxscores/202503200CHO.html,,2025-03-20
2025-03-20,2025-03-20,7:00p,Gainbridge Fieldhouse,"15,008",2:37,OT,Brooklyn Nets,99,0,0,0.426,12.8,23.0,0.129,92.0,0.481,20.9,23.3,0.333,97.6,Indiana Pacers,105,1,1,0.481,20.9,23.3,0.333,97.6,0.426,12.8,23.0,0.129,92.0,97.4,6,0.05499999999999999,-8.099999999999998,0.3000000000000007,0.20400000000000001,https://www.basketball-reference.com/boxscores/202503200IND.html,,2025-03-20
2025-03-20,2025-03-20,10:00p,Chase Center,"18,064",2:23,,Toronto Raptors,114,0,0,0.635,21.0,20.6,0.192,111.5,0.528,12.8,22.9,0.244,114.4,Golden State Warriors,117,1,1,0.528,12.8,22.9,0.244,114.4,0.635,21.0,20.6,0.192,111.5,102.3,3,-0.10699999999999998,8.2,2.299999999999997,0.05199999999999999,https://www.basketball-reference.com/boxscores/202503200GSW.html,,2025-03-20
2025-03-20,2025-03-20,10:00p,Golden 1 Center,"16,960",2:18,,Chicago Bulls,128,1,1,0.61,12.6,30.8,0.267,133.1,0.564,11.1,24.3,0.221,120.6,Sacramento Kings,116,0,0,0.564,11.1,24.3,0.221,120.6,0.61,12.6,30.8,0.267,133.1,96.2,-12,-0.04600000000000004,1.5,-6.5,-0.04600000000000001,https://www.basketball-reference.com/boxscores/202503200SAC.html,,2025-03-20
2025-03-20,2025-03-20,10:30p,Crypto.com Arena,"17,709",2:10,,Milwaukee Bucks,118,1,1,0.542,8.3,21.7,0.321,123.7,0.482,19.8,31.1,0.122,93.3,Los Angeles Lakers,89,0,0,0.482,19.8,31.1,0.122,93.3,0.542,8.3,21.7,0.321,123.7,95.4,-29,-0.06000000000000005,-11.5,9.400000000000002,-0.199,https://www.basketball-reference.com/boxscores/202503200LAL.html,,2025-03-20
2025-03-21,2025-03-21,7:00p,Capital One Arena,"18,317",2:01,,Orlando Magic,120,1,1,0.568,11.3,28.3,0.115,119.9,0.523,13.6,16.0,0.161,104.9,Washington Wizards,105,0,0,0.523,13.6,16.0,0.161,104.9,0.568,11.3,28.3,0.115,119.9,100.1,-15,-0.04499999999999993,-2.299999999999999,-12.3,0.046,https://www.basketball-reference.com/boxscores/202503210WAS.html,,2025-03-21
2025-03-21,2025-03-21,8:00p,Target Center,"18,978",2:09,,New Orleans Pelicans,93,0,0,0.581,25.1,21.2,0.206,95.9,0.646,12.5,27.8,0.213,138.2,Minnesota Timberwolves,134,1,1,0.646,12.5,27.8,0.213,138.2,0.581,25.1,21.2,0.206,95.9,96.9,41,0.06500000000000006,12.600000000000001,6.600000000000001,0.007000000000000006,https://www.basketball-reference.com/boxscores/202503210MIN.html,,2025-03-21
2025-03-21,2025-03-21,8:00p,Paycom Center,"18,203",2:00,,Charlotte Hornets,106,0,0,0.581,15.7,15.4,0.163,111.0,0.686,8.1,30.3,0.128,147.7,Oklahoma City Thunder,141,1,1,0.686,8.1,30.3,0.128,147.7,0.581,15.7,15.4,0.163,111.0,95.5,35,0.1050000000000001,7.6,14.9,-0.035,https://www.basketball-reference.com/boxscores/202503210OKC.html,,2025-03-21
2025-03-21,2025-03-21,8:00p,Frost Bank Center,"17,803",2:12,,Philadelphia 76ers,120,0,0,0.654,18.2,16.7,0.173,118.4,0.635,13.4,25.0,0.169,126.3,San Antonio Spurs,128,1,1,0.635,13.4,25.0,0.169,126.3,0.654,18.2,16.7,0.173,118.4,101.4,8,-0.019000000000000017,4.799999999999999,8.3,-0.003999999999999976,https://www.basketball-reference.com/boxscores/202503210SAS.html,,2025-03-21
2025-03-21,2025-03-21,8:30p,American Airlines Center,"20,071",2:27,,Detroit Pistons,117,0,0,0.526,11.6,30.6,0.143,113.8,0.6,17.3,27.8,0.338,119.6,Dallas Mavericks,123,1,1,0.6,17.3,27.8,0.338,119.6,0.526,11.6,30.6,0.143,113.8,102.8,6,0.07399999999999995,-5.700000000000001,-2.8000000000000007,0.19500000000000003,https://www.basketball-reference.com/boxscores/202503210DAL.html,,2025-03-21
2025-03-21,2025-03-21,9:30p,Delta Center,"18,175",2:00,,Boston Celtics,121,1,1,0.552,9.6,35.6,0.144,127.6,0.536,16.0,22.0,0.107,104.4,Utah Jazz,99,0,0,0.536,16.0,22.0,0.107,104.4,0.552,9.6,35.6,0.144,127.6,94.8,-22,-0.016000000000000014,-6.4,-13.600000000000001,-0.03699999999999999,https://www.basketball-reference.com/boxscores/202503210UTA.html,,2025-03-21
