date,visitor_team,visitor_score,home_team,home_score,visitor_pace,visitor_efg,visitor_tov_pct,visitor_orb_pct,visitor_ft_rate,visitor_ortg,home_pace,home_efg,home_tov_pct,home_orb_pct,home_ft_rate,home_ortg,home_win
2015-12-09,ATL,98,DAL,95,94.5,0.519,13.6,16.2,0.173,103.7,94.5,0.395,7.7,32.8,0.16,100.5,0
2017-10-18,MIN,99,SAS,107,94.5,0.482,12.0,22.4,0.2,104.8,94.5,0.506,10.2,27.9,0.191,113.3,1
2021-04-30,ORL,75,MEM,92,97.8,0.349,17.4,22.2,0.174,76.7,97.8,0.399,7.0,25.4,0.131,94.0,1
2017-03-08,LAC,91,MIN,107,92.3,0.476,15.0,21.7,0.145,98.6,92.3,0.517,11.2,35.0,0.209,116.0,1
2019-03-26,SAC,125,DAL,121,92.9,0.563,6.5,27.9,0.31,134.5,92.9,0.604,10.8,21.9,0.364,130.2,0
2015-11-27,CLE,95,CHO,90,93.1,0.469,14.8,27.9,0.235,102.1,93.1,0.444,10.8,15.6,0.238,96.7,0
2022-01-23,BRK,125,MIN,136,100.7,0.584,14.3,37.2,0.147,124.1,100.7,0.598,7.9,23.8,0.283,135.0,1
2020-01-16,UTA,132,NOP,138,100.7,0.535,10.2,23.4,0.25,118.7,100.7,0.608,10.7,22.0,0.269,124.1,1
2022-03-18,CHI,102,PHO,129,94.4,0.453,10.0,25.0,0.294,108.1,94.4,0.625,10.3,29.4,0.286,136.7,1
2021-02-19,GSW,120,ORL,124,105.5,0.572,11.1,17.3,0.093,113.7,105.5,0.585,11.4,18.2,0.149,117.5,1
2016-11-03,IND,107,MIL,125,100.2,0.531,18.4,25.6,0.259,106.8,100.2,0.646,18.5,35.3,0.232,124.8,1
2019-11-18,POR,108,HOU,132,107.7,0.474,13.8,22.6,0.177,100.3,107.7,0.555,12.6,34.7,0.21,122.6,1
2017-12-02,ATL,114,BRK,102,96.6,0.525,7.1,27.7,0.101,118.0,96.6,0.518,17.2,26.1,0.207,105.6,0
2021-11-24,PHI,96,GSW,116,100.1,0.475,17.5,17.8,0.25,95.9,100.1,0.619,15.0,10.8,0.213,115.9,1
2017-01-26,DAL,98,OKC,109,93.6,0.518,11.8,18.2,0.131,104.7,93.6,0.576,15.4,20.0,0.361,116.5,1
2016-02-05,LAC,107,ORL,93,98.8,0.595,20.7,17.6,0.257,108.3,98.8,0.444,16.2,22.4,0.259,94.1,0
2021-03-03,DET,129,TOR,105,96.5,0.637,10.7,30.8,0.143,133.7,96.5,0.519,13.4,15.9,0.325,108.9,0
2021-03-10,SAS,104,DAL,115,91.5,0.53,8.9,13.6,0.193,113.7,91.5,0.596,13.3,35.1,0.193,125.7,1
2021-03-28,ORL,93,LAL,96,94.5,0.449,9.5,18.5,0.159,98.5,94.5,0.482,11.5,16.3,0.207,101.6,1
2018-01-20,MEM,104,NOP,111,93.1,0.543,13.6,22.2,0.183,111.7,93.1,0.545,9.8,15.0,0.333,119.2,1
2016-03-11,WAS,93,UTA,114,95.9,0.481,13.5,13.6,0.2,97.0,95.9,0.634,17.7,14.8,0.433,118.9,1
2017-11-24,ORL,103,BOS,118,95.3,0.479,10.4,32.7,0.126,108.1,95.3,0.555,7.3,27.1,0.187,123.9,1
2020-08-22,LAL,116,POR,108,102.9,0.564,14.9,27.9,0.359,112.7,102.9,0.474,9.6,14.0,0.189,105.0,0
2019-04-07,DAL,129,MEM,127,95.2,0.52,5.0,20.4,0.276,122.7,95.2,0.526,6.0,20.0,0.245,120.8,0
2016-02-26,WAS,103,PHI,94,93.1,0.463,9.8,33.3,0.17,110.7,93.1,0.476,10.8,15.6,0.195,101.0,0
2021-02-12,SAS,125,ATL,114,102.1,0.6,11.8,20.5,0.271,122.4,102.1,0.494,10.3,20.8,0.278,111.6,0
2016-04-19,MEM,68,SAS,94,89.7,0.337,12.2,28.1,0.116,75.8,89.7,0.538,17.8,9.7,0.348,104.8,1
2016-04-06,LAC,91,LAL,81,88.9,0.488,10.1,23.3,0.12,102.3,88.9,0.378,11.0,29.1,0.144,91.1,0
2022-02-28,IND,103,ORL,119,100.4,0.59,20.2,12.1,0.25,102.6,100.4,0.531,8.6,22.2,0.177,118.5,1
